date,county,state,fips,cases,deaths
2021-05-03,Autauga,Alabama,01001,6910,107
2021-05-03,Baldwin,Alabama,01003,20993,306
2021-05-03,Barbour,Alabama,01005,2302,56
2021-05-03,Bibb,Alabama,01007,2597,63
2021-05-03,Blount,Alabama,01009,6621,135
2021-05-03,Bullock,Alabama,01011,1229,41
2021-05-03,Butler,Alabama,01013,2154,69
2021-05-03,Calhoun,Alabama,01015,14457,312
2021-05-03,Chambers,Alabama,01017,3545,123
2021-05-03,Cherokee,Alabama,01019,1838,45
2021-05-03,Chilton,Alabama,01021,4244,111
2021-05-03,Choctaw,Alabama,01023,603,24
2021-05-03,Clarke,Alabama,01025,3503,60
2021-05-03,Clay,Alabama,01027,1533,56
2021-05-03,Cleburne,Alabama,01029,1483,41
2021-05-03,Coffee,Alabama,01031,5491,115
2021-05-03,Colbert,Alabama,01033,6282,134
2021-05-03,Conecuh,Alabama,01035,1100,28
2021-05-03,Coosa,Alabama,01037,1068,28
2021-05-03,Covington,Alabama,01039,4105,117
2021-05-03,Crenshaw,Alabama,01041,1516,57
2021-05-03,Cullman,Alabama,01043,9617,193
2021-05-03,Dale,Alabama,01045,4810,111
2021-05-03,Dallas,Alabama,01047,3536,150
2021-05-03,DeKalb,Alabama,01049,8813,185
2021-05-03,Elmore,Alabama,01051,10017,205
2021-05-03,Escambia,Alabama,01053,3926,75
2021-05-03,Etowah,Alabama,01055,13796,352
2021-05-03,Fayette,Alabama,01057,2119,62
2021-05-03,Franklin,Alabama,01059,4238,82
2021-05-03,Geneva,Alabama,01061,2470,75
2021-05-03,Greene,Alabama,01063,922,34
2021-05-03,Hale,Alabama,01065,2217,76
2021-05-03,Henry,Alabama,01067,1885,44
2021-05-03,Houston,Alabama,01069,10506,280
2021-05-03,Jackson,Alabama,01071,6793,110
2021-05-03,Jefferson,Alabama,01073,76225,1516
2021-05-03,Lamar,Alabama,01075,1412,34
2021-05-03,Lauderdale,Alabama,01077,9397,238
2021-05-03,Lawrence,Alabama,01079,2996,98
2021-05-03,Lee,Alabama,01081,15800,168
2021-05-03,Limestone,Alabama,01083,9935,150
2021-05-03,Lowndes,Alabama,01085,1384,53
2021-05-03,Macon,Alabama,01087,1586,49
2021-05-03,Madison,Alabama,01089,34569,501
2021-05-03,Marengo,Alabama,01091,2485,64
2021-05-03,Marion,Alabama,01093,3092,100
2021-05-03,Marshall,Alabama,01095,12166,222
2021-05-03,Mobile,Alabama,01097,40864,804
2021-05-03,Monroe,Alabama,01099,1762,40
2021-05-03,Montgomery,Alabama,01101,24264,585
2021-05-03,Morgan,Alabama,01103,14250,279
2021-05-03,Perry,Alabama,01105,1075,26
2021-05-03,Pickens,Alabama,01107,2335,59
2021-05-03,Pike,Alabama,01109,3091,77
2021-05-03,Randolph,Alabama,01111,1792,41
2021-05-03,Russell,Alabama,01113,4379,38
2021-05-03,Shelby,Alabama,01117,23355,246
2021-05-03,St. Clair,Alabama,01115,9584,237
2021-05-03,Sumter,Alabama,01119,1041,32
2021-05-03,Talladega,Alabama,01121,8183,175
2021-05-03,Tallapoosa,Alabama,01123,4004,150
2021-05-03,Tuscaloosa,Alabama,01125,25646,451
2021-05-03,Walker,Alabama,01127,7205,279
2021-05-03,Washington,Alabama,01129,1668,39
2021-05-03,Wilcox,Alabama,01131,1265,28
2021-05-03,Winston,Alabama,01133,2735,72
2021-05-03,Aleutians East Borough,Alaska,02013,364,3
2021-05-03,Aleutians West Census Area,Alaska,02016,691,0
2021-05-03,Anchorage,Alaska,02020,30043,171
2021-05-03,Bethel Census Area,Alaska,02050,3874,21
2021-05-03,Bristol Bay plus Lake and Peninsula,Alaska,02997,194,0
2021-05-03,Denali Borough,Alaska,02068,101,0
2021-05-03,Dillingham Census Area,Alaska,02070,228,2
2021-05-03,Fairbanks North Star Borough,Alaska,02090,7653,37
2021-05-03,Haines Borough,Alaska,02100,28,0
2021-05-03,Juneau City and Borough,Alaska,02110,1363,3
2021-05-03,Kenai Peninsula Borough,Alaska,02122,4416,19
2021-05-03,Ketchikan Gateway Borough,Alaska,02130,434,1
2021-05-03,Kodiak Island Borough,Alaska,02150,1106,5
2021-05-03,Kusilvak Census Area,Alaska,02158,1276,4
2021-05-03,Matanuska-Susitna Borough,Alaska,02170,11369,46
2021-05-03,Nome Census Area,Alaska,02180,351,0
2021-05-03,North Slope Borough,Alaska,02185,1068,4
2021-05-03,Northwest Arctic Borough,Alaska,02188,616,2
2021-05-03,Petersburg Borough,Alaska,02195,159,0
2021-05-03,Prince of Wales-Hyder Census Area,Alaska,02198,99,1
2021-05-03,Sitka City and Borough,Alaska,02220,339,0
2021-05-03,Skagway Municipality,Alaska,02230,20,0
2021-05-03,Southeast Fairbanks Census Area,Alaska,02240,672,4
2021-05-03,Unknown,Alaska,,288,0
2021-05-03,Valdez-Cordova Census Area,Alaska,02261,637,2
2021-05-03,Wrangell City and Borough,Alaska,02275,52,0
2021-05-03,Yakutat plus Hoonah-Angoon,Alaska,02998,72,2
2021-05-03,Yukon-Koyukuk Census Area,Alaska,02290,359,4
2021-05-03,Apache,Arizona,04001,11336,428
2021-05-03,Cochise,Arizona,04003,11926,284
2021-05-03,Coconino,Arizona,04005,17752,329
2021-05-03,Gila,Arizona,04007,6903,227
2021-05-03,Graham,Arizona,04009,5552,78
2021-05-03,Greenlee,Arizona,04011,571,10
2021-05-03,La Paz,Arizona,04012,2460,80
2021-05-03,Maricopa,Arizona,04013,538633,9882
2021-05-03,Mohave,Arizona,04015,22709,715
2021-05-03,Navajo,Arizona,04017,16218,532
2021-05-03,Pima,Arizona,04019,115361,2395
2021-05-03,Pinal,Arizona,04021,51398,872
2021-05-03,Santa Cruz,Arizona,04023,7920,176
2021-05-03,Yavapai,Arizona,04025,18739,503
2021-05-03,Yuma,Arizona,04027,37101,833
2021-05-03,Arkansas,Arkansas,05001,2095,36
2021-05-03,Ashley,Arkansas,05003,1998,34
2021-05-03,Baxter,Arkansas,05005,3159,103
2021-05-03,Benton,Arkansas,05007,28828,414
2021-05-03,Boone,Arkansas,05009,3807,80
2021-05-03,Bradley,Arkansas,05011,1384,32
2021-05-03,Calhoun,Arkansas,05013,411,3
2021-05-03,Carroll,Arkansas,05015,2800,45
2021-05-03,Chicot,Arkansas,05017,1612,41
2021-05-03,Clark,Arkansas,05019,2102,41
2021-05-03,Clay,Arkansas,05021,1755,50
2021-05-03,Cleburne,Arkansas,05023,1975,74
2021-05-03,Cleveland,Arkansas,05025,950,25
2021-05-03,Columbia,Arkansas,05027,2340,56
2021-05-03,Conway,Arkansas,05029,2217,32
2021-05-03,Craighead,Arkansas,05031,13376,179
2021-05-03,Crawford,Arkansas,05033,7061,119
2021-05-03,Crittenden,Arkansas,05035,6038,96
2021-05-03,Cross,Arkansas,05037,1943,50
