date,state,fips,cases,deaths
2021-05-03,Alabama,01,528784,10913
2021-05-03,Alaska,02,67872,331
2021-05-03,Arizona,04,864579,17344
2021-05-03,Arkansas,05,336166,5747
2021-05-03,California,06,3747125,62226
2021-05-03,Colorado,08,517439,6443
2021-05-03,Connecticut,09,340545,8112
2021-05-03,Delaware,10,105067,1626
2021-05-03,District of Columbia,11,47903,1106
2021-05-03,Florida,12,2245845,35306
2021-05-03,Georgia,13,1079178,19601
2021-05-03,Guam,66,8950,137
2021-05-03,Hawaii,15,33060,481
2021-05-03,Idaho,16,188101,2054
2021-05-03,Illinois,17,1345483,24389
2021-05-03,Indiana,18,726760,13350
2021-05-03,Iowa,19,365750,5959
2021-05-03,Kansas,20,311715,5029
2021-05-03,Kentucky,21,448728,6642
2021-05-03,Louisiana,22,459340,10393
2021-05-03,Maine,23,62092,790
2021-05-03,Maryland,24,449701,8797
2021-05-03,Massachusetts,25,691735,17639
2021-05-03,Michigan,26,944908,18910
2021-05-03,Minnesota,27,580433,7256
2021-05-03,Mississippi,28,312400,7207
2021-05-03,Missouri,29,603024,9255
2021-05-03,Montana,30,109209,1574
2021-05-03,Nebraska,31,220225,2371
2021-05-03,Nevada,32,316239,5473
2021-05-03,New Hampshire,33,95506,1305
2021-05-03,New Jersey,34,1000992,25616
2021-05-03,New Mexico,35,198372,4073
2021-05-03,New York,36,2055467,51889
2021-05-03,North Carolina,37,981164,12715
2021-05-03,North Dakota,38,107794,1525
2021-05-03,Northern Mariana Islands,69,168,2
2021-05-03,Ohio,39,1075999,19284
2021-05-03,Oklahoma,40,448872,6788
2021-05-03,Oregon,41,186923,2518
2021-05-03,Pennsylvania,42,1163552,26330
2021-05-03,Puerto Rico,72,166662,2315
2021-05-03,Rhode Island,44,148669,2678
2021-05-03,South Carolina,45,580794,9524
2021-05-03,South Dakota,46,122745,1970
2021-05-03,Tennessee,47,834739,12108
2021-05-03,Texas,48,2901444,50487
2021-05-03,Utah,49,398305,2204
2021-05-03,Vermont,50,23158,248
2021-05-03,Virgin Islands,78,3138,27
2021-05-03,Virginia,51,661925,10807
2021-05-03,Washington,53,409151,5555
2021-05-03,West Virginia,54,154207,2686
2021-05-03,Wisconsin,55,662281,7567
2021-05-03,Wyoming,56,58290,707
